Date,Open,High,Low,Close,Total Trade Quantity
2016-01-05,36.45,36.7,35.4,35.55,74075.0
2016-01-06,35.95,36.5,35.7,35.75,83594.0
2016-01-07,35.9,35.9,33.05,34.1,53613.0
2016-01-08,34.5,36.0,34.5,35.05,97928.0
2016-01-11,34.9,37.0,34.5,36.55,123972.0
2016-01-12,36.5,39.3,35.8,36.2,235040.0
2016-01-13,37.1,37.65,30.0,33.5,216155.0
2016-01-14,31.2,33.8,31.0,32.75,62719.0
2016-01-15,33.25,34.5,30.55,31.0,54109.0
2016-01-18,29.8,31.0,27.7,28.1,64843.0
2016-01-19,28.8,30.05,27.2,29.2,48353.0
